5,-0.08,0.04
8,-0.12,0.12
11,-0.13,0.27
14,-0.11,0.51
17,-0.07,0.81
20,0,1.20
23,0.09,1.61
26,0.21,2.09
29,0.37,2.64
32,0.56,3.21
35,0.87,3.77
38,0.95,4.50
41,1.21,5.11
44,1.46,5.81
47,1.46,6.53
